,camera_loss,camera_AvQ,camera_MaxQ
108,10886.537109375,941.1582641601562,1991.7491455078125
109,9000.4306640625,940.92578125,1895.8587646484375
110,7801.33740234375,947.6658325195312,1950.7340087890625
111,8935.86328125,945.0595703125,1871.1224365234375
112,11673.056640625,947.4216918945312,2011.5738525390625
113,9842.7353515625,961.734130859375,2025.775634765625
114,10181.255859375,963.9473266601562,2041.443115234375
115,8183.52490234375,971.9715576171875,2036.2864990234375
116,10166.4521484375,986.1526489257812,2063.673828125
117,9730.59765625,1000.808349609375,2027.2095947265625
118,12432.89453125,1008.064453125,2035.043701171875
119,11089.396484375,1009.1054077148438,2036.3206787109375
120,10890.5576171875,1014.0696411132812,2036.8331298828125
121,10906.345703125,1017.6881713867188,1990.26904296875
122,9968.9462890625,1020.6449584960938,2133.1708984375
